Date;Joueurs;Mise;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6
2023-12-28;112797;643797.50;0;0.00;0;0.00;17;113.70;591;38.70;8227;5.10;46727;2.50
2023-12-25;121360;684915.00;0;0.00;0;0.00;12;94.00;636;29.50;9368;3.90;52875;2.50
2023-12-21;113379;649730.00;0;0.00;0;0.00;15;84.50;588;35.30;8416;4.90;47066;2.50
2023-12-18;114240;647010.00;0;0.00;0;0.00;12;133.80;532;49.30;7495;6.20;44636;2.50
2023-12-14;120212;681160.00;0;0.00;0;0.00;18;85.60;761;32.40;9104;4.40;50818;2.50
2023-12-11;127872;729555.00;0;0.00;0;0.00;17;91.00;650;39.90;9440;5.10;54754;2.50
2023-12-07;131830;751205.00;0;0.00;0;0.00;8;167.60;527;52.00;8635;6.10;52704;2.50
2023-12-04;142946;804387.50;0;0.00;0;0.00;6;136.20;715;43.70;9879;5.50;58052;2.50
2023-11-30;153911;853492.50;0;0.00;0;0.00;10;144.20;594;58.40;9766;6.80;59481;2.50
2023-11-27;145162;801177.50;0;0.00;0;0.00;14;114.10;715;46.40;9524;5.90;55969;2.50
2023-11-23;171234;919200.00;0;0.00;0;0.00;14;135.40;775;42.70;11294;5.50;66255;2.50
2023-11-20;180129;953802.50;0;0.00;0;0.00;18;87.70;777;34.70;11638;4.70;68322;2.50
2023-11-16;175695;992552.50;0;0.00;0;0.00;24;57.90;949;26.00;13684;3.80;75155;2.50
2023-11-13;171991;965242.50;0;0.00;0;0.00;12;150.10;707;52.00;10748;6.30;66358;2.50
2023-11-09;192647;1090802.50;0;0.00;0;0.00;17;173.90;871;56.60;12551;6.70;75352;2.50
2023-11-06;251269;1529565.00;0;0.00;0;0.00;31;107.50;1364;42.00;18891;5.30;109250;2.50
