Date;Joueurs;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2018-12-31;187239;345697,50;0;0,00;0;20000,00;2;2.000,00;44;200,00;400;20,00;4166;5,00;41459;2,00;18837;1,50
2018-12-30;3657;11562,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;9;20,00;136;5,00;1404;2,00;631;1,50
2018-12-29;216643;377767,50;0;0,00;0;20000,00;2;2.000,00;45;200,00;461;20,00;4486;5,00;45268;2,00;22011;1,50
2018-12-28;182699;332305,50;0;0,00;0;20000,00;7;2.000,00;46;200,00;408;20,00;3995;5,00;40103;2,00;17796;1,50
2018-12-27;4687;16321,50;0;0,00;0;20000,00;2;2.000,00;1;200,00;18;20,00;194;5,00;1953;2,00;916;1,50
2018-12-26;122049;221376,00;0;0,00;0;20000,00;6;2.000,00;32;200,00;243;20,00;2666;5,00;26418;2,00;12938;1,50
2018-12-25;123808;228022,50;0;0,00;0;20000,00;1;2.000,00;24;200,00;275;20,00;2794;5,00;26998;2,00;12086;1,50
2018-12-24;149423;273549,00;0;0,00;0;20000,00;5;2.000,00;27;200,00;352;20,00;3390;5,00;32925;2,00;15447;1,50
2018-12-23;3382;10552,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;14;20,00;134;5,00;1290;2,00;598;1,50
2018-12-22;212132;367768,50;0;0,00;0;20000,00;3;2.000,00;43;200,00;433;20,00;4453;5,00;44304;2,00;18055;1,50
2018-12-21;178386;322606,50;0;0,00;0;20000,00;5;2.000,00;44;200,00;391;20,00;4008;5,00;38660;2,00;17909;1,50
2018-12-20;4183;14110,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;14;20,00;169;5,00;1692;2,00;800;1,50
2018-12-19;120065;214008,00;0;0,00;0;20000,00;3;2.000,00;19;200,00;252;20,00;2517;5,00;25589;2,00;11452;1,50
2018-12-18;118324;216667,50;0;0,00;0;20000,00;5;2.000,00;24;200,00;279;20,00;2676;5,00;26168;2,00;11583;1,50
2018-12-17;4039;12771,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;10;20,00;157;5,00;1496;2,00;743;1,50
2018-12-16;3109;9384,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;4;20,00;109;5,00;1119;2,00;521;1,50
2018-12-15;201448;347772,00;0;0,00;1;20000,00;7;2.000,00;48;200,00;409;20,00;4158;5,00;41976;2,00;20347;1,50
2018-12-14;157038;279835,50;0;0,00;0;20000,00;3;2.000,00;23;200,00;326;20,00;3350;5,00;33917;2,00;15210;1,50
2018-12-13;4213;13573,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;14;20,00;176;5,00;1659;2,00;760;1,50
2018-12-12;114004;203430,00;0;0,00;0;20000,00;4;2.000,00;21;200,00;259;20,00;2436;5,00;24505;2,00;10633;1,50
2018-12-11;111200;202753,50;0;0,00;0;20000,00;1;2.000,00;27;200,00;235;20,00;2440;5,00;24620;2,00;11310;1,50
2018-12-10;4032;13134,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;9;20,00;159;5,00;1521;2,00;684;1,50
2018-12-09;3140;9286,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;18;20,00;96;5,00;1094;2,00;497;1,50
2018-12-08;204215;352431,00;0;0,00;0;20000,00;1;2.000,00;47;200,00;443;20,00;4216;5,00;42309;2,00;17197;1,50
2018-12-07;154619;273903,00;0;0,00;0;20000,00;6;2.000,00;29;200,00;319;20,00;3357;5,00;32726;2,00;14733;1,50
2018-12-06;4415;14631,00;0;0,00;0;20000,00;0;2.000,00;4;200,00;21;20,00;172;5,00;1741;2,00;819;1,50
2018-12-05;117042;208662,00;0;0,00;0;20000,00;2;2.000,00;28;200,00;237;20,00;2538;5,00;25078;2,00;11461;1,50
2018-12-04;109906;199678,50;0;0,00;2;20000,00;1;2.000,00;20;200,00;272;20,00;2454;5,00;24068;2,00;10647;1,50
2018-12-03;4283;13840,50;0;0,00;0;20000,00;0;2.000,00;4;200,00;17;20,00;167;5,00;1633;2,00;748;1,50
2018-12-02;3162;9483,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;8;20,00;104;5,00;1121;2,00;504;1,50
2018-12-01;202161;349204,50;0;0,00;0;20000,00;5;2.000,00;46;200,00;414;20,00;4223;5,00;42029;2,00;18844;1,50
2018-11-30;177496;316630,50;0;0,00;0;20000,00;2;2.000,00;38;200,00;405;20,00;3819;5,00;37748;2,00;18907;1,50
2018-11-29;4158;13476,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;11;20,00;137;5,00;1633;2,00;737;1,50
2018-11-28;119442;213201,00;0;0,00;0;20000,00;0;2.000,00;25;200,00;274;20,00;2488;5,00;25278;2,00;11765;1,50
2018-11-27;124983;228619,50;0;0,00;0;20000,00;3;2.000,00;23;200,00;271;20,00;2756;5,00;27587;2,00;12634;1,50
