Date;Numéro 1;Numéro 2;Numéro 3;Numéro 4;Numéro 5;Numéro 6;Signe astrologique
2018-12-31;1;1;6;7;5;6;Sagittaire
2018-12-30;7;7;8;0;0;6;Capricorne
2018-12-29;1;0;9;0;7;8;Bélier
2018-12-28;3;1;1;2;6;2;Vierge
2018-12-27;6;2;3;0;1;4;Vierge
2018-12-26;4;3;5;3;0;3;Bélier
2018-12-25;0;3;0;8;3;6;Verseau
2018-12-24;7;9;2;0;3;1;Bélier
2018-12-23;6;9;1;6;8;5;Bélier
2018-12-22;7;0;3;3;5;6;Capricorne
2018-12-21;8;6;6;4;4;3;Bélier
2018-12-20;6;0;6;6;4;3;Taureau
2018-12-19;2;6;9;5;7;8;Vierge
2018-12-18;9;7;1;4;4;2;Cancer
2018-12-17;6;3;8;3;3;9;Gémeaux
2018-12-16;7;4;3;4;0;4;Sagittaire
2018-12-15;7;3;0;5;0;1;Balance
2018-12-14;2;8;6;7;5;2;Cancer
2018-12-13;8;4;7;3;4;0;Gémeaux
2018-12-12;7;2;5;2;1;2;Verseau
2018-12-11;7;9;3;0;1;0;Bélier
2018-12-10;5;3;8;7;9;8;Verseau
2018-12-09;9;8;5;8;4;2;Vierge
2018-12-08;6;2;4;8;1;5;Capricorne
2018-12-07;4;2;4;0;3;1;Verseau
2018-12-06;7;8;9;1;1;7;Vierge
2018-12-05;0;4;5;3;5;6;Poissons
2018-12-04;9;9;0;2;2;0;Vierge
2018-12-03;8;0;1;2;6;9;Sagittaire
2018-12-02;7;4;7;8;6;1;Poissons
2018-12-01;9;3;4;7;9;2;Cancer
2018-11-30;9;8;8;9;0;1;Lion
2018-11-29;2;6;6;6;6;6;Gémeaux
2018-11-28;1;4;3;3;1;8;Poissons
2018-11-27;2;8;6;1;3;8;Sagittaire
2018-11-26;2;0;9;0;0;7;Gémeaux
2018-11-25;0;2;7;1;8;9;Scorpion
2018-11-24;6;1;8;0;2;1;Scorpion
2018-11-23;5;9;4;9;6;2;Balance
2018-11-22;5;0;7;0;6;1;Poissons
2018-11-21;4;3;6;4;3;6;Capricorne
2018-11-20;8;5;4;2;2;0;Gémeaux
2018-11-19;5;0;4;5;1;6;Taureau
2018-11-18;0;9;8;1;1;8;Verseau
2018-11-17;0;8;0;9;0;2;Verseau
2018-11-16;0;5;3;1;0;3;Bélier
2018-11-15;4;2;0;5;0;5;Lion
2018-11-14;3;8;5;9;2;5;Vierge
2018-11-13;4;6;7;6;1;2;Gémeaux
2018-11-12;0;9;3;0;0;9;Sagittaire
2018-11-11;4;9;3;0;1;8;Capricorne
2018-11-10;7;2;5;9;6;3;Verseau
2018-11-09;8;4;9;1;7;4;Poissons
2018-11-08;2;9;3;0;5;2;Poissons
2018-11-07;1;4;0;6;1;7;Lion
2018-11-06;7;8;3;2;9;7;Cancer
2018-11-05;7;2;7;8;8;2;Capricorne
2018-11-04;7;2;9;8;3;6;Bélier
2018-11-03;9;2;9;1;3;3;Verseau
2018-11-02;2;2;0;0;5;7;Capricorne
2018-11-01;0;2;4;4;3;4;Taureau
2018-10-31;5;8;9;1;0;5;Bélier
2018-10-30;1;3;1;2;0;1;Vierge
2018-10-29;9;1;6;2;2;7;Lion
2018-10-28;1;5;2;9;1;2;Scorpion
2018-10-27;3;0;5;8;2;0;Taureau
2018-10-26;6;1;5;3;8;2;Capricorne
2018-10-25;4;8;4;2;0;9;Capricorne
2018-10-24;7;2;1;8;4;3;Bélier
2018-10-23;3;0;2;5;0;0;Gémeaux
2018-10-22;7;6;6;7;1;9;Scorpion
2018-10-21;7;8;0;3;8;7;Taureau
2018-10-20;9;4;3;2;8;0;Scorpion
2018-10-19;2;0;1;9;2;2;Gémeaux
2018-10-18;9;0;9;0;6;3;Verseau
2018-10-17;0;4;2;5;9;5;Taureau
2018-10-16;6;0;7;9;5;0;Gémeaux
2018-10-15;5;4;8;4;7;8;Sagittaire
2018-10-14;3;1;4;7;0;5;Taureau
2018-10-13;5;6;7;8;8;4;Verseau
2018-10-12;4;0;4;8;6;5;Capricorne
2018-10-11;7;6;3;2;9;3;Lion
2018-10-10;8;0;9;1;1;6;Gémeaux
2018-10-09;0;5;5;8;2;7;Taureau
2018-10-08;9;6;4;2;3;5;Sagittaire
2018-10-07;0;6;3;4;3;6;Bélier
2018-10-06;8;8;2;0;6;6;Bélier
2018-10-05;9;2;8;1;8;0;Gémeaux
2018-10-04;7;7;0;1;2;5;Vierge
2018-10-03;0;2;8;7;6;6;Balance
2018-10-02;1;6;6;3;0;0;Poissons
2018-10-01;0;1;8;7;0;3;Scorpion
2018-09-30;0;4;0;7;2;8;Capricorne
2018-09-29;6;1;2;0;5;3;Bélier
2018-09-28;1;6;9;1;1;5;Bélier
2018-09-27;8;0;6;3;8;5;Taureau
2018-09-26;2;9;4;1;8;6;Capricorne
2018-09-25;0;8;7;4;2;0;Taureau
2018-09-24;2;8;8;3;4;0;Bélier
2018-09-23;8;2;5;7;7;1;Capricorne
2018-09-22;4;1;7;3;2;7;Sagittaire
2018-09-21;1;3;8;0;3;9;Balance
2018-09-20;2;1;8;9;9;5;Poissons
2018-09-19;9;4;6;5;2;2;Scorpion
2018-09-18;2;5;7;4;1;8;Poissons
2018-09-17;5;2;5;5;8;7;Balance
2018-09-16;6;6;7;0;5;9;Vierge
2018-09-15;7;6;8;0;9;4;Capricorne
2018-09-14;4;5;0;1;7;0;Scorpion
2018-09-13;0;4;9;1;9;4;Verseau
2018-09-12;7;8;0;8;9;6;Scorpion
2018-09-11;5;3;0;9;0;3;Lion
2018-09-10;8;8;8;1;8;5;Poissons
2018-09-09;4;1;3;9;8;3;Balance
2018-09-08;0;9;5;8;2;9;Verseau
2018-09-07;0;0;9;6;5;7;Poissons
2018-09-06;0;1;1;3;8;2;Bélier
2018-09-05;7;8;8;3;0;2;Capricorne
2018-09-04;5;3;3;2;3;6;Gémeaux
2018-09-03;8;0;9;8;2;2;Sagittaire
2018-09-02;1;2;1;2;2;8;Vierge
2018-09-01;9;3;5;1;2;9;Taureau
