date,gain,mise,net,cum_mise,cum_gain,solde
2025-09-05,7.0,11.5,-4.5,11.5,7.0,-4.5
2025-09-09,0.0,11.5,-11.5,23.0,7.0,-16.0
2025-09-12,2.0,11.5,-9.5,34.5,9.0,-25.5
2025-09-16,2.5,11.5,-9.0,46.0,11.5,-34.5
2025-09-19,4.0,11.5,-7.5,57.5,15.5,-42.0
2025-09-23,4.5,11.5,-7.0,69.0,20.0,-49.0
2025-09-26,0.0,11.5,-11.5,80.5,20.0,-60.5
2025-09-30,5.0,11.5,-6.5,92.0,25.0,-67.0
2025-10-03,0.0,11.5,-11.5,103.5,25.0,-78.5
2025-10-07,0.0,11.5,-11.5,115.0,25.0,-90.0
2025-10-10,2.5,11.5,-9.0,126.5,27.5,-99.0
2025-10-14,4.5,11.5,-7.0,138.0,32.0,-106.0
2025-10-17,2.5,11.5,-9.0,149.5,34.5,-115.0
2025-10-21,0.0,11.5,-11.5,161.0,34.5,-126.5
2025-11-07,2.5,11.5,-9.0,172.5,37.0,-135.5
2025-11-11,2.5,11.5,-9.0,184.0,39.5,-144.5
2025-11-14,2.5,11.5,-9.0,195.5,42.0,-153.5
2025-11-18,1.5,11.5,-10.0,207.0,43.5,-163.5
2025-11-21,2.5,11.5,-9.0,218.5,46.0,-172.5
2025-11-25,0.0,11.5,-11.5,230.0,46.0,-184.0
2025-11-28,0.0,11.5,-11.5,241.5,46.0,-195.5
2025-12-02,6.5,11.5,-5.0,253.0,52.5,-200.5
2025-12-05,7.3,11.5,-4.2,264.5,59.8,-204.7
2025-12-09,11.7,11.5,0.1999999999999993,276.0,71.5,-204.5
2025-12-12,7.0,11.5,-4.5,287.5,78.5,-209.0
2025-12-16,1.5,11.5,-10.0,299.0,80.0,-219.0
2025-12-19,4.0,11.5,-7.5,310.5,84.0,-226.5
2025-12-30,0.0,11.5,-11.5,322.0,84.0,-238.0
2026-01-02,4.5,11.5,-7.0,333.5,88.5,-245.0
2026-01-06,7.5,11.5,-4.0,345.0,96.0,-249.0
2026-01-09,2.5,11.5,-9.0,356.5,98.5,-258.0
2026-01-13,2.0,11.5,-9.5,368.0,100.5,-267.5
2026-01-16,0.0,11.5,-11.5,379.5,100.5,-279.0
2026-01-20,0.0,11.5,-11.5,391.0,100.5,-290.5
2026-01-27,2.5,11.5,-9.0,402.5,103.0,-299.5
2026-01-30,2.5,11.5,-9.0,414.0,105.5,-308.5
2026-02-03,9.0,11.5,-2.5,425.5,114.5,-311.0
2026-02-06,2.5,11.5,-9.0,437.0,117.0,-320.0
2026-02-10,0.0,11.5,-11.5,448.5,117.0,-331.5
2026-02-13,0.0,11.5,-11.5,460.0,117.0,-343.0
2026-02-17,0.0,11.5,-11.5,471.5,117.0,-354.5
2026-04-27,4.0,11.5,-7.5,483.0,121.0,-362.0
2026-04-28,7.5,11.5,-4.0,494.5,128.5,-366.0
2026-05-01,0.0,11.5,-11.5,506.0,128.5,-377.5
2026-05-05,0.0,11.5,-11.5,517.5,128.5,-389.0
2026-05-08,5.5,11.5,-6.0,529.0,134.0,-395.0
2026-05-12,2.5,11.5,-9.0,540.5,136.5,-404.0
2026-05-15,2.5,11.5,-9.0,552.0,139.0,-413.0
2026-05-22,2.5,11.5,-9.0,563.5,141.5,-422.0
2026-05-26,0.0,11.5,-11.5,575.0,141.5,-433.5
2026-05-29,10.4,11.5,-1.0999999999999996,586.5,151.9,-434.6
2026-06-02,2.5,11.5,-9.0,598.0,154.4,-443.6
2026-06-05,5.0,11.5,-6.5,609.5,159.4,-450.1
2026-06-09,38.5,11.5,27.0,621.0,197.9,-423.1
2026-06-12,2.5,11.5,-9.0,632.5,200.4,-432.1
2026-06-16,20.0,11.5,8.5,644.0,220.4,-423.6
2026-06-19,2.5,11.5,-9.0,655.5,222.9,-432.6
2026-06-23,2.0,11.5,-9.5,667.0,224.9,-442.1
2026-06-26,0.0,11.5,-11.5,678.5,224.9,-453.6
2026-06-30,2.0,11.5,-9.5,690.0,226.9,-463.1
2026-07-03,5.0,11.5,-6.5,701.5,231.9,-469.6
