Date,Joueurs,Mise,P-R1,W-R1,P-R2,W-R2,P-R3,W-R3,P-R4,W-R4,P-R5,W-R5,P-R6,W-R6,fichier,grilles,jour,an,pool1,pool2,pool3,pool4,pool5,pool6,payout,mois,z3,z4,z5
2023-11-06,251269.0,1529565.0,0.0,0.0,0.0,0.0,31.0,107.5,1364.0,42.0,18891.0,5.3,109250.0,2.5,2023,611826,0,2023,0.0,0.0,3332.5,57288.0,100122.3,273125.0,433867.8,11,-0.2660325112287818,0.6198022682893135,-1.3654128747809773
2023-11-09,192647.0,1090802.5,0.0,0.0,0.0,0.0,17.0,173.9,871.0,56.6,12551.0,6.7,75352.0,2.5,2023,436321,3,2023,0.0,0.0,2956.3,49298.6,84091.7,188380.0,324726.6,11,-1.285320552353592,-2.769439024829172,-9.175636531361496
2023-11-13,171991.0,965242.5,0.0,0.0,0.0,0.0,12.0,150.1,707.0,52.0,10748.0,6.3,66358.0,2.5,2023,386097,0,2023,0.0,0.0,1801.1999999999998,36764.0,67712.4,165895.0,272172.6,11,-1.8808964300739897,-4.798456047817333,-11.94894598922905
2023-11-16,175695.0,992552.5,0.0,0.0,0.0,0.0,24.0,57.9,949.0,26.0,13684.0,3.8,75155.0,2.5,2023,397021,3,2023,0.0,0.0,1389.6,24674.0,51999.2,187887.5,265950.3,11,0.63119780011089,2.6670491278126214,11.9160104630879
2023-11-20,180129.0,953802.5,0.0,0.0,0.0,0.0,18.0,87.7,777.0,34.7,11638.0,4.7,68322.0,2.5,2023,381521,0,2023,0.0,0.0,1578.6000000000001,26961.9,54698.6,170805.0,254044.1,11,-0.5056465559638014,-2.0568358044601793,-2.400997811863578
2023-11-23,171234.0,919200.0,0.0,0.0,0.0,0.0,14.0,135.4,775.0,42.7,11294.0,5.5,66255.0,2.5,2023,367680,3,2023,0.0,0.0,1895.6000000000001,33092.5,62117.0,165637.5,262742.6,11,-1.2535530239413202,-1.0957664387423443,-1.61494270639869
2023-11-27,145162.0,801177.5,0.0,0.0,0.0,0.0,14.0,114.1,715.0,46.4,9524.0,5.9,55969.0,2.5,2023,320471,0,2023,0.0,0.0,1597.3999999999999,33176.0,56191.600000000006,139922.5,230887.5,11,-0.7347421721260143,0.46913878565248246,-4.758881616599459
2023-11-30,153911.0,853492.5,0.0,0.0,0.0,0.0,10.0,144.2,594.0,58.4,9766.0,6.8,59481.0,2.5,2023,341397,3,2023,0.0,0.0,1442.0,34689.6,66408.8,148702.5,251242.9,11,-1.9120449663449,-5.651925091552504,-8.652687389392701
2023-12-04,142946.0,804387.5,0.0,0.0,0.0,0.0,6.0,136.2,715.0,43.7,9879.0,5.5,58052.0,2.5,2023,321755,0,2023,0.0,0.0,817.1999999999999,31245.500000000004,54334.5,145130.0,231527.2,12,-2.6844067381700567,0.36209770744758524,-1.554593424339222
2023-12-07,131830.0,751205.0,0.0,0.0,0.0,0.0,8.0,167.6,527.0,52.0,8635.0,6.1,52704.0,2.5,2023,300482,3,2023,0.0,0.0,1340.8,27404.0,52673.5,131760.0,213178.3,12,-1.994394214250452,-5.139073462654249,-7.703951950166342
2023-12-11,127872.0,729555.0,0.0,0.0,0.0,0.0,17.0,91.0,650.0,39.9,9440.0,5.1,54754.0,2.5,2023,291822,0,2023,0.0,0.0,1547.0,25935.0,48144.0,136885.0,212511.0,12,0.378458355724715,0.40487474395432876,3.63237717251583
2023-12-14,120212.0,681160.0,0.0,0.0,0.0,0.0,18.0,85.6,761.0,32.4,9104.0,4.4,50818.0,2.5,2023,272464,3,2023,0.0,0.0,1540.8,24656.399999999998,40057.600000000006,127045.0,193299.8,12,0.9248363204791408,6.704008293316211,6.7086358905402435
2023-12-18,114240.0,647010.0,0.0,0.0,0.0,0.0,12.0,133.8,532.0,49.3,7495.0,6.2,44636.0,2.5,2023,258804,0,2023,0.0,0.0,1605.6000000000001,26227.6,46469.0,111590.0,185892.2,12,-0.4731556002724905,-1.487119187660345,-6.497071548312907
2023-12-21,113379.0,649730.0,0.0,0.0,0.0,0.0,15.0,84.5,588.0,35.3,8416.0,4.9,47066.0,2.5,2023,259892,3,2023,0.0,0.0,1267.5,20756.399999999998,41238.4,117665.0,180927.3,12,0.31950289857539993,0.7645921041174112,3.528203641154195
2023-12-25,121360.0,684915.0,0.0,0.0,0.0,0.0,12.0,94.0,636.0,29.5,9368.0,3.9,52875.0,2.5,2023,273966,0,2023,0.0,0.0,1128.0,18762.0,36535.2,132187.5,188612.7,12,-0.6710603172571548,1.445045514105808,9.077421432275335
2023-12-28,112797.0,643797.5,0.0,0.0,0.0,0.0,17.0,113.7,591.0,38.7,8227.0,5.1,46727.0,2.5,2023,257519,3,2023,0.0,0.0,1932.9,22871.7,41957.7,116817.5,183579.8,12,0.895687673694437,1.113695824254876,2.2404341422458556
2024-01-01,113237.0,636827.5,0.0,0.0,0.0,0.0,16.0,115.3,618.0,41.7,7985.0,5.5,45700.0,2.5,2024,254731,0,2024,0.0,0.0,1844.8,25770.600000000002,43917.5,114250.0,185782.9,1,0.6690605141619866,2.522493562042941,0.4848727693853245
2024-01-04,107557.0,598255.0,0.0,0.0,0.0,0.0,8.0,125.3,426.0,47.5,7321.0,5.8,42906.0,2.5,2024,239302,3,2024,0.0,0.0,1002.4,20235.0,42461.799999999996,107265.0,170964.2,1,-1.3230656086101036,-4.310781074536804,-1.6512592489724662
2024-01-08,102711.0,568937.5,0.0,0.0,0.0,0.0,5.0,75.5,518.0,32.0,7280.0,4.5,41153.0,2.5,2024,227575,0,2024,0.0,0.0,377.5,16576.0,32760.0,102882.5,152596.0,1,-2.0401498268078324,0.8551554788343539,2.22224676430601
2024-01-11,105714.0,588110.0,0.0,0.0,1.0,120000.0,11.0,109.7,443.0,41.5,7244.0,5.3,42974.0,2.5,2024,235244,3,2024,0.0,120000.0,1206.7,18384.5,38393.2,107435.0,285419.4,1,-0.42496976019775806,-3.2062266198802627,-1.0779098659632078
2024-01-15,105845.0,583177.5,0.0,0.0,0.0,0.0,10.0,106.5,538.0,40.6,7121.0,5.3,41685.0,2.5,2024,233271,0,2024,0.0,0.0,1065.0,21842.8,37741.299999999996,104212.5,164861.59999999998,1,-0.6809956842656463,1.1772153992384693,-1.8148796319417726
