Date,Joueurs,Mise,P-R1,W-R1,P-R2,W-R2,P-R3,W-R3,P-R4,W-R4,P-R5,W-R5,P-R6,W-R6,grilles,pay1,pay2,pay3,pay4,pay5,pay6,payout
2023-11-06,251269.0,1529565.0,0.0,0.0,0.0,0.0,31.0,107.5,1364.0,42.0,18891.0,5.3,109250.0,2.5,611826,0.0,0.0,3332.5,57288.0,100122.3,273125.0,433867.8
2023-11-09,192647.0,1090802.5,0.0,0.0,0.0,0.0,17.0,173.9,871.0,56.6,12551.0,6.7,75352.0,2.5,436321,0.0,0.0,2956.3,49298.6,84091.7,188380.0,324726.6
2023-11-13,171991.0,965242.5,0.0,0.0,0.0,0.0,12.0,150.1,707.0,52.0,10748.0,6.3,66358.0,2.5,386097,0.0,0.0,1801.1999999999998,36764.0,67712.4,165895.0,272172.6
2023-11-16,175695.0,992552.5,0.0,0.0,0.0,0.0,24.0,57.9,949.0,26.0,13684.0,3.8,75155.0,2.5,397021,0.0,0.0,1389.6,24674.0,51999.2,187887.5,265950.3
2023-11-20,180129.0,953802.5,0.0,0.0,0.0,0.0,18.0,87.7,777.0,34.7,11638.0,4.7,68322.0,2.5,381521,0.0,0.0,1578.6000000000001,26961.9,54698.6,170805.0,254044.1
2023-11-23,171234.0,919200.0,0.0,0.0,0.0,0.0,14.0,135.4,775.0,42.7,11294.0,5.5,66255.0,2.5,367680,0.0,0.0,1895.6000000000001,33092.5,62117.0,165637.5,262742.6
2023-11-27,145162.0,801177.5,0.0,0.0,0.0,0.0,14.0,114.1,715.0,46.4,9524.0,5.9,55969.0,2.5,320471,0.0,0.0,1597.3999999999999,33176.0,56191.600000000006,139922.5,230887.5
2023-11-30,153911.0,853492.5,0.0,0.0,0.0,0.0,10.0,144.2,594.0,58.4,9766.0,6.8,59481.0,2.5,341397,0.0,0.0,1442.0,34689.6,66408.8,148702.5,251242.9
2023-12-04,142946.0,804387.5,0.0,0.0,0.0,0.0,6.0,136.2,715.0,43.7,9879.0,5.5,58052.0,2.5,321755,0.0,0.0,817.1999999999999,31245.500000000004,54334.5,145130.0,231527.2
2023-12-07,131830.0,751205.0,0.0,0.0,0.0,0.0,8.0,167.6,527.0,52.0,8635.0,6.1,52704.0,2.5,300482,0.0,0.0,1340.8,27404.0,52673.5,131760.0,213178.3
2023-12-11,127872.0,729555.0,0.0,0.0,0.0,0.0,17.0,91.0,650.0,39.9,9440.0,5.1,54754.0,2.5,291822,0.0,0.0,1547.0,25935.0,48144.0,136885.0,212511.0
2023-12-14,120212.0,681160.0,0.0,0.0,0.0,0.0,18.0,85.6,761.0,32.4,9104.0,4.4,50818.0,2.5,272464,0.0,0.0,1540.8,24656.399999999998,40057.600000000006,127045.0,193299.8
2023-12-18,114240.0,647010.0,0.0,0.0,0.0,0.0,12.0,133.8,532.0,49.3,7495.0,6.2,44636.0,2.5,258804,0.0,0.0,1605.6000000000001,26227.6,46469.0,111590.0,185892.2
2023-12-21,113379.0,649730.0,0.0,0.0,0.0,0.0,15.0,84.5,588.0,35.3,8416.0,4.9,47066.0,2.5,259892,0.0,0.0,1267.5,20756.399999999998,41238.4,117665.0,180927.3
2023-12-25,121360.0,684915.0,0.0,0.0,0.0,0.0,12.0,94.0,636.0,29.5,9368.0,3.9,52875.0,2.5,273966,0.0,0.0,1128.0,18762.0,36535.2,132187.5,188612.7
2023-12-28,112797.0,643797.5,0.0,0.0,0.0,0.0,17.0,113.7,591.0,38.7,8227.0,5.1,46727.0,2.5,257519,0.0,0.0,1932.9,22871.7,41957.7,116817.5,183579.8
2024-01-01,113237.0,636827.5,0.0,0.0,0.0,0.0,16.0,115.3,618.0,41.7,7985.0,5.5,45700.0,2.5,254731,0.0,0.0,1844.8,25770.600000000002,43917.5,114250.0,185782.9
2024-01-04,107557.0,598255.0,0.0,0.0,0.0,0.0,8.0,125.3,426.0,47.5,7321.0,5.8,42906.0,2.5,239302,0.0,0.0,1002.4,20235.0,42461.799999999996,107265.0,170964.2
2024-01-08,102711.0,568937.5,0.0,0.0,0.0,0.0,5.0,75.5,518.0,32.0,7280.0,4.5,41153.0,2.5,227575,0.0,0.0,377.5,16576.0,32760.0,102882.5,152596.0
2024-01-11,105714.0,588110.0,0.0,0.0,1.0,120000.0,11.0,109.7,443.0,41.5,7244.0,5.3,42974.0,2.5,235244,0.0,120000.0,1206.7,18384.5,38393.2,107435.0,285419.4
2024-01-15,105845.0,583177.5,0.0,0.0,0.0,0.0,10.0,106.5,538.0,40.6,7121.0,5.3,41685.0,2.5,233271,0.0,0.0,1065.0,21842.8,37741.299999999996,104212.5,164861.59999999998
2024-01-18,101078.0,556687.5,0.0,0.0,0.0,0.0,12.0,81.6,578.0,34.5,7150.0,4.8,41027.0,2.5,222675,0.0,0.0,979.1999999999999,19941.0,34320.0,102567.5,157807.7
2024-01-22,100629.0,552417.5,0.0,0.0,0.0,0.0,7.0,127.9,399.0,48.7,6237.0,6.2,38420.0,2.5,220967,0.0,0.0,895.3000000000001,19431.300000000003,38669.4,96050.0,155046.0
2024-01-25,101623.0,559382.5,0.0,0.0,0.0,0.0,8.0,117.4,424.0,48.9,6731.0,5.6,41380.0,2.5,223753,0.0,0.0,939.2,20733.6,37693.6,103450.0,162816.4
2024-01-29,102294.0,560865.0,0.0,0.0,0.0,0.0,14.0,106.7,467.0,41.9,7042.0,5.3,41006.0,2.5,224346,0.0,0.0,1493.8,19567.3,37322.6,102515.0,160898.7
