Date,annee,Joueurs,Cash,grilles,payout,P-R1,P-R2,P-R3,P-R4,P-R5,P-R6,P-R7,P-R8
2011-02-02,2011,146668.0,293844.0,195896,131362.0,0.0,0.0,4.0,31.0,361.0,3558.0,35303.0,14364.0
2011-02-04,2011,123171.0,223966.5,149311,103181.0,0.0,0.0,4.0,25.0,283.0,2636.0,26510.0,12214.0
2011-02-05,2011,320508.0,575302.5,383535,264857.5,0.0,0.0,8.0,69.0,718.0,6895.0,68857.0,32339.0
2011-02-09,2011,167527.0,321103.5,214069,144814.5,0.0,0.0,2.0,46.0,362.0,3812.0,38537.0,18827.0
2011-02-11,2011,143904.0,257383.5,171589,117410.5,0.0,0.0,5.0,29.0,300.0,3024.0,30619.0,12835.0
2011-02-12,2011,351013.0,623781.0,415854,593731.5,1.0,2.0,6.0,72.0,780.0,7449.0,74718.0,33367.0
2011-02-16,2011,174126.0,329484.0,219656,158440.0,0.0,0.0,8.0,40.0,352.0,3952.0,39279.0,19388.0
2011-02-18,2011,151592.0,270444.0,180296,121683.0,0.0,0.0,4.0,25.0,305.0,3251.0,32391.0,14364.0
2011-02-19,2011,358663.0,634471.5,422981,284775.5,0.0,0.0,7.0,65.0,763.0,7644.0,76113.0,34713.0
2011-02-23,2011,185158.0,348295.5,232197,167068.0,0.0,0.0,7.0,45.0,438.0,4158.0,41893.0,20488.0
2011-02-25,2011,174211.0,309132.0,206088,138583.0,0.0,0.0,2.0,40.0,385.0,3707.0,36947.0,17636.0
2011-02-26,2011,367409.0,648124.5,432083,300085.5,0.0,0.0,8.0,83.0,785.0,7669.0,78092.0,38171.0
2011-03-02,2011,180559.0,337773.0,225182,148041.0,0.0,0.0,2.0,38.0,413.0,4084.0,40340.0,18054.0
2011-03-04,2011,363277.0,657568.5,438379,310865.5,0.0,0.0,13.0,74.0,783.0,7860.0,79430.0,37497.0
2011-03-05,2011,362179.0,638443.5,425629,295966.5,0.0,0.0,11.0,69.0,775.0,7665.0,77004.0,34889.0
2011-03-07,2011,21236.0,43689.0,29126,21955.5,0.0,0.0,1.0,10.0,58.0,533.0,5230.0,2447.0
2011-03-09,2011,177428.0,330351.0,220234,167308.5,0.0,1.0,2.0,42.0,407.0,4048.0,39423.0,18455.0
2011-03-11,2011,202326.0,358719.0,239146,176163.0,0.0,1.0,0.0,38.0,400.0,4296.0,42713.0,22438.0
2011-03-12,2011,365418.0,641764.5,427843,290887.0,0.0,0.0,8.0,89.0,802.0,7665.0,76194.0,33556.0
2011-03-14,2011,36382.0,70579.5,47053,50182.5,0.0,1.0,0.0,9.0,90.0,864.0,8441.0,3587.0
2011-03-16,2011,184081.0,339939.0,226626,173024.0,0.0,1.0,3.0,50.0,361.0,4037.0,40861.0,18598.0
2011-03-18,2011,226501.0,401727.0,267818,198249.0,0.0,1.0,4.0,45.0,480.0,4835.0,48122.0,20820.0
2011-03-19,2011,363006.0,635779.5,423853,301780.0,0.0,0.0,11.0,99.0,755.0,7759.0,77022.0,34694.0
2011-03-21,2011,35602.0,68602.5,45735,33109.0,0.0,0.0,1.0,15.0,76.0,831.0,8250.0,3956.0
2011-03-23,2011,173654.0,321172.5,214115,138115.0,0.0,0.0,2.0,29.0,342.0,3882.0,38461.0,16762.0
2011-03-25,2011,259375.0,458718.0,305812,247587.0,0.0,2.0,5.0,65.0,551.0,5525.0,54884.0,24116.0
2011-03-26,2011,360928.0,631113.0,420742,278135.0,0.0,0.0,8.0,66.0,716.0,7635.0,75765.0,29940.0
2011-03-28,2011,32894.0,64000.5,42667,27146.0,0.0,0.0,0.0,5.0,92.0,769.0,7781.0,3266.0
2011-03-30,2011,183842.0,338608.5,225739,170524.0,0.0,1.0,2.0,56.0,404.0,4010.0,40409.0,17584.0
2011-04-01,2011,181924.0,322150.5,214767,146525.5,0.0,0.0,2.0,46.0,396.0,3847.0,38782.0,19071.0
2011-04-02,2011,365543.0,638896.5,425931,291683.5,0.0,0.0,10.0,72.0,768.0,7645.0,76824.0,33367.0
2011-04-04,2011,31599.0,61555.5,41037,27255.0,0.0,0.0,0.0,8.0,58.0,758.0,7453.0,3866.0
2011-04-06,2011,191377.0,352107.0,234738,166281.5,0.0,0.0,7.0,49.0,414.0,4275.0,42434.0,18639.0
2011-04-08,2011,177702.0,312957.0,208638,144336.0,0.0,0.0,5.0,32.0,354.0,3830.0,37245.0,18144.0
2011-04-09,2011,362469.0,633355.5,422237,294265.0,0.0,0.0,9.0,82.0,788.0,7723.0,76081.0,35552.0
2011-04-11,2011,31106.0,60649.5,40433,26006.0,0.0,0.0,0.0,7.0,66.0,695.0,7288.0,3490.0
2011-04-13,2011,193999.0,355863.0,237242,166180.5,0.0,0.0,5.0,45.0,434.0,4354.0,42856.0,20679.0
2011-04-15,2011,180035.0,317259.0,211506,140303.0,0.0,0.0,2.0,39.0,398.0,3757.0,38165.0,16952.0
2011-04-16,2011,356404.0,621903.0,414602,283437.0,0.0,0.0,8.0,81.0,750.0,7582.0,74787.0,32502.0
2011-04-18,2011,28471.0,55384.5,36923,23960.5,0.0,0.0,0.0,8.0,66.0,615.0,6630.0,3137.0
2011-04-20,2011,172508.0,316953.0,211302,143245.5,0.0,0.0,4.0,38.0,385.0,3776.0,38160.0,16497.0
2011-04-22,2011,175526.0,309484.5,206323,142402.5,0.0,0.0,4.0,43.0,349.0,3729.0,36888.0,17601.0
2011-04-23,2011,350250.0,610285.5,406857,290427.5,0.0,0.0,12.0,72.0,788.0,7439.0,73575.0,34615.0
2011-04-25,2011,21062.0,40507.5,27005,17544.0,0.0,0.0,0.0,7.0,45.0,464.0,4803.0,2212.0
2011-04-27,2011,168118.0,309708.0,206472,140929.5,0.0,0.0,5.0,25.0,396.0,3595.0,36914.0,17471.0
2011-04-29,2011,167217.0,294079.5,196053,133760.5,0.0,0.0,4.0,36.0,383.0,3678.0,35300.0,14607.0
2011-04-30,2011,355375.0,619938.0,413292,299258.5,0.0,1.0,7.0,80.0,712.0,7574.0,74224.0,32467.0
2011-05-02,2011,30405.0,59389.5,39593,25089.5,0.0,0.0,0.0,4.0,83.0,725.0,7130.0,3163.0
