annee,tirages,mise_MEUR,TRJ,TRJ_hors_R1,gagnants_R1
2011,208.0,65.322705,0.5348814474232199,0.46905441224456335,5.0
2012,210.0,61.525362,0.5333403564533273,0.46588849814487887,5.0
2013,209.0,58.039617,0.5395802060513253,0.46678510128693645,2.0
2014,209.0,57.75864,0.5247782149995222,0.46850957709530555,2.0
2015,318.0,59.6139195,0.5594380017237417,0.47011322582136206,5.0
2016,366.0,58.1065335,0.5117117423637051,0.46868732067797503,1.0
2017,365.0,57.06756,0.5146883448319851,0.4656236923393956,4.0
2018,365.0,56.543418,0.5221397033338169,0.4655460251801545,4.0
2019,365.0,57.6391305,0.5135323736363442,0.4684241289864704,3.0
2020,366.0,59.2111485,0.5050339717696913,0.4712565489250728,4.0
2021,365.0,63.133017,0.5562912825788129,0.4675896765712939,6.0
2022,365.0,63.173019,0.4727748487055843,0.4696089401711196,1.0
2023,365.0,63.9932685,0.5465135836904471,0.46681770130244243,4.0
2024,366.0,65.3696385,0.5194628696011528,0.46745095584397334,5.0
2025,365.0,69.458112,0.5101322506433805,0.4669407512833058,4.0
2026,250.0,47.2025055,0.5169846545539833,0.47037695912137545,2.0
